Attack,Defense,Sp.Atk,Sp.Def,Speed,HP,Legendary
-33,-30,6,15,44,-22,0
71,35,71,38,39,66,1
17,3,-47,-15,18,-4,0
97,82,63,28,86,19,0
95,18,94,18,55,26,1
3,-105,51,33,42,-15,0
-30,-55,-35,-35,25,-55,0
-2,25,31,35,25,22,0
-34,-45,-29,-10,63,10,0
55,40,0,0,5,-30,0
-25,-35,45,5,60,15,0
23,25,52,25,32,12,0
34,0,-52,-30,7,-41,0
57,32,60,50,70,26,0
20,37,88,88,40,54,0
4,-5,4,20,1,-5,0
-25,68,-22,49,27,-48,1
-18,-61,7,64,76,17,1
29,5,39,-5,2,-5,0
-5,-68,-10,35,43,-35,0
10,0,-50,35,50,35,0
56,-25,56,10,20,43,0
-3,-20,25,0,2,-9,0
26,-30,-14,-40,54,-10,0
50,0,-10,-20,0,30,0
-44,-14,-34,-64,5,-14,1
50,0,15,25,25,-5,0
-76,-80,-36,-36,10,-70,0
20,100,0,30,40,25,0
10,-27,2,-18,22,-24,0
10,116,30,106,35,15,1
37,-2,50,18,63,19,0
71,49,-21,51,40,0,0
22,42,35,40,34,32,0
139,120,100,25,25,62,1
120,80,65,80,40,70,0
52,5,97,68,2,45,0
10,0,-40,-35,0,-20,1
20,0,70,40,35,60,1
13,-11,36,54,7,-1,0
-5,10,-4,-10,13,10,0
-10,-15,50,25,5,-15,0
55,26,126,52,52,75,1
5,-5,50,40,20,-50,0
20,18,-30,18,2,3,0
-3,-22,45,45,5,10,0
32,15,70,5,14,25,0
-75,-90,-10,-20,35,-40,1
-20,-30,20,20,65,-15,0
22,36,49,-4,48,26,0
-15,-15,10,-10,10,-10,0
53,-20,-4,-20,7,-16,1
-5,-25,-95,-30,85,-5,0
20,-10,-27,-15,66,-36,0
-50,-106,-5,5,20,-24,0
28,33,-53,27,21,34,0
17,13,-44,-1,-71,9,0
15,62,-46,-2,43,-12,0
-35,-25,30,10,30,5,0
-9,-35,-14,-45,8,-24,0
35,0,-40,-10,35,1,0
65,92,18,-5,44,15,0
45,55,-40,0,-25,40,0
-13,12,49,49,29,-11,0
79,53,10,3,-53,0,0
2,25,49,-30,8,11,0
75,62,-57,-99,-35,37,0
64,12,-11,-16,30,46,0
65,50,61,27,62,30,0
100,100,60,50,15,45,1
40,-10,100,50,60,-40,1
60,15,-10,-20,10,-39,0
87,142,14,4,-42,65,0
7,6,10,-7,42,-45,0
-16,0,36,25,94,6,0
-65,30,57,48,27,3,0
-18,30,9,33,-49,-7,0
90,30,0,30,35,60,0
85,50,75,119,34,66,1
-31,-46,29,44,14,-11,0
1,-21,19,31,20,0,0
-12,-27,13,-27,41,-25,0
25,30,65,30,52,50,1
29,-47,-50,-35,18,-46,0
21,-9,35,-5,100,35,0
65,10,-45,-20,-70,45,0
7,-4,60,5,74,15,0
30,-5,30,-20,10,5,0
35,50,70,0,26,24,1
60,70,35,30,65,35,0
-90,-29,100,-35,49,-35,0
8,-2,5,0,24,-30,0
10,21,85,51,35,25,0
-30,45,5,15,0,-20,0
5,-45,-50,-45,5,-52,0
16,30,4,15,-34,4,0
-32,-134,11,4,37,-50,0
-3,17,-6,67,15,11,0
35,-15,90,45,75,15,0
0,-70,-10,-15,63,25,0
32,22,9,4,81,33,0
-35,-65,60,30,10,-15,0
68,-20,18,50,46,20,0
-40,20,-25,20,10,10,0
32,-1,-24,8,11,3,0
5,-45,60,30,5,15,0
9,80,31,95,4,26,1
-10,10,50,30,5,15,1
-15,-5,10,-35,60,-25,0
76,25,60,15,55,29,0
52,50,42,-50,64,-183,0
10,40,40,40,35,25,1
25,5,35,5,26,-25,0
45,50,80,60,36,39,1
19,6,19,-4,26,9,0
71,18,-3,17,11,39,0
65,60,65,45,50,65,1
0,0,40,70,10,-25,0
13,-56,-7,-11,17,-18,0
-60,30,20,30,10,5,1
40,10,25,15,55,15,0
90,35,15,-55,0,70,0
-5,2,-5,-13,20,-5,0
11,11,88,54,16,-25,0
40,74,15,7,78,46,1
-13,55,27,55,5,-14,0
56,-36,11,-51,12,13,0
52,-33,12,0,68,76,0
13,10,28,35,20,10,0
10,-35,-70,-80,5,-75,0
55,60,70,80,25,60,1
-5,5,15,55,50,60,0
-3,-18,15,2,2,11,0
3,-8,-9,-9,3,0,0
-33,-27,-15,-20,25,-26,0
25,-15,45,-15,15,15,1
28,3,35,5,15,29,0
15,30,37,63,14,15,0
37,39,46,36,15,39,0
36,15,0,5,49,-10,0
22,65,45,17,77,36,1
11,42,36,52,18,51,0
26,27,45,25,20,32,1
-21,-15,17,28,11,34,0
54,-10,25,40,52,45,0
-110,-25,-55,-15,0,-10,0
20,17,103,78,48,2,0
95,50,25,70,68,10,0
15,20,5,-15,11,18,0
30,116,41,-3,27,0,0
-35,-55,-65,-55,30,-45,0
35,15,20,10,10,15,0
5,10,-30,25,20,0,0
85,3,15,3,9,45,0
30,20,0,0,45,20,0
60,31,60,50,42,32,0
25,-65,65,-60,5,40,0
-20,20,20,25,15,10,1
25,61,0,-2,-14,0,0
-20,-100,65,31,60,16,0
50,19,45,105,31,65,0
96,-5,66,25,63,50,1
-95,-10,25,0,27,-27,0
78,23,78,23,81,25,0
55,55,-25,-85,35,-190,0
56,5,50,15,55,14,1
-45,-30,-5,-30,15,-25,0
140,75,5,65,44,21,0
90,25,10,60,42,78,0
10,-5,-10,-10,25,-35,0
45,45,25,40,20,40,0
45,45,-45,-55,-70,20,0
-20,-136,-11,-17,13,-25,0
-20,5,0,20,7,13,0
-33,-40,-115,-65,37,-24,0
40,18,25,15,15,22,0
-28,5,-43,-10,21,-30,0
-90,-20,0,-50,-60,-18,0
-15,-5,65,15,65,15,0
-25,20,10,20,20,5,0
15,-20,-25,-60,21,-21,1
15,10,15,10,100,-30,1
95,25,70,10,45,55,0
90,108,50,58,14,55,1
-58,-24,21,-44,34,-14,0
125,95,75,65,50,72,1
-20,-25,-20,-75,2,-2,0
88,35,-20,-5,-40,70,0
-40,-50,-15,-45,-50,-85,1
5,-15,10,-10,30,-10,0
-6,11,44,29,69,32,0
35,5,60,20,20,-5,0
-15,-35,-40,-10,65,-50,0
60,40,60,25,50,55,1
75,75,110,40,50,15,1
18,-57,45,-61,19,11,0
-4,15,10,10,10,19,0
0,-20,35,15,15,0,0
42,26,29,-14,43,26,0
-35,-50,-20,0,25,-5,0
-35,-40,-30,-30,10,-85,0
-40,-57,28,-61,14,-3,0
-2,0,95,45,47,20,0
-24,-10,5,-10,40,-9,0
60,25,90,45,13,37,1
-29,-68,-31,-22,13,-38,0
-20,22,40,42,51,-45,0
58,68,45,48,5,18,0
-40,-30,20,-10,0,-35,0
41,-15,111,15,59,65,1
45,62,70,36,40,18,0
35,30,75,20,0,50,0
27,-5,37,35,25,10,0
27,12,-16,-6,-17,-55,0
-10,-5,65,35,30,15,0
15,-2,2,-13,2,6,0
-74,-131,-1,7,12,-25,0
124,135,60,85,11,80,0
-25,20,-25,15,0,-65,0
45,21,-15,32,30,32,0
10,5,35,-10,25,20,0
-5,95,-35,95,20,-5,0
21,10,5,0,84,10,0
57,-5,40,-25,13,8,0
10,5,42,-8,1,41,0
25,5,-5,-5,45,-5,0
-13,-75,17,-75,89,27,0
-13,-1,-1,31,69,-10,0
50,45,105,45,85,60,1
-5,-5,-80,-20,-39,-5,0
24,30,25,30,21,30,0
10,-5,95,-45,80,-10,0
-13,-35,-30,-44,7,-4,0
130,90,70,10,-50,40,1
21,19,-20,10,15,40,0
-20,25,-30,45,0,-5,0
-25,-24,26,1,7,-15,0
-57,-77,-4,-30,6,-48,0
-25,-10,-55,0,5,-10,0
30,-5,-5,-15,17,10,0
-20,15,30,85,60,20,1
-34,30,45,-25,24,-10,0
-43,-78,-18,-10,37,1,0
80,55,75,35,5,85,0
56,15,21,5,89,20,0
60,30,35,20,51,54,0
-4,-42,46,18,33,29,0
35,35,-50,-110,-40,-200,0
35,34,-5,65,34,-8,0
-75,-38,-23,-48,30,-41,0
-27,-10,15,-10,35,-6,0
-35,-70,-5,-4,30,106,0
-10,-15,66,42,32,-5,0
100,35,30,-65,5,18,0
-5,-5,10,-15,5,5,0
-34,55,95,55,14,55,0
65,78,108,63,5,51,1
70,10,105,41,55,41,1
65,30,110,50,95,20,0
-5,30,35,5,45,30,1
30,-30,20,30,65,30,0
40,65,20,10,10,30,0
-15,25,-10,15,50,-50,0
-24,-63,10,-43,35,-35,0
20,9,20,13,25,43,1
-45,-40,-75,-45,45,-30,0
54,9,64,9,43,26,0
-15,-35,-5,-35,15,-15,0
-55,-48,-55,-48,26,-40,0
40,21,20,27,31,50,0
5,105,35,105,8,22,1
20,13,-60,-40,10,5,0
2,-15,45,50,2,36,0
19,40,73,36,64,29,0
-10,10,-5,-5,20,10,0
65,25,70,-40,35,20,0
-11,-25,20,20,11,15,0
-20,-9,30,6,13,10,0
8,8,-44,-34,61,-21,0
-64,-50,25,-30,10,-44,0
10,-25,-50,-55,30,-40,0
5,30,-35,35,20,15,0
75,39,60,44,14,40,0
-5,31,40,76,20,-50,0
-3,-2,-62,-68,2,-27,0
-3,3,-13,5,2,1,0
15,52,15,-10,25,10,0
23,10,70,40,18,14,0
42,-35,-20,10,3,20,0
-7,8,70,60,15,7,0
90,-55,5,-85,-15,45,0
31,20,106,60,64,45,0
108,2,78,12,60,70,1
40,35,85,40,70,32,0
10,-10,-25,-20,25,-20,0
11,33,60,30,2,-11,0
25,0,55,0,40,0,0
70,55,60,-5,73,-45,0
35,92,65,87,71,-40,0
35,45,70,75,115,-25,0
-15,-35,65,55,60,30,0
30,-25,70,-30,50,-25,0
32,15,55,15,60,-15,1
-14,10,20,39,0,8,0
2,40,-7,30,15,15,0
30,90,55,85,-15,15,0
20,0,-15,-10,45,-19,0
75,-35,-20,-50,10,-5,0
145,55,0,30,25,35,0
40,25,75,85,15,45,0
88,-167,88,-167,96,55,0
-70,-125,-20,-5,10,-40,0
-10,-35,-45,20,5,-25,0
-10,2,-5,45,50,-15,0
-25,-43,-20,-15,3,-85,1
49,25,-50,-5,25,14,0
5,2,2,-3,10,-6,0
-41,-11,7,-16,32,-29,0
35,25,-45,-95,0,-215,0
-5,-50,-35,-15,85,-30,0
20,-20,-30,-35,-17,-8,0
70,30,70,30,50,45,1
-20,-25,20,-5,37,-22,0
26,-41,91,-31,72,-12,0
-38,3,-26,-1,-54,-63,0
-12,-40,-14,7,11,-8,0
-5,25,-70,35,30,-20,0
31,13,16,-7,24,-17,0
50,30,119,99,0,40,1
30,26,70,46,58,30,0
-10,2,35,2,11,-10,0
-20,10,16,56,10,30,0
110,10,85,30,85,25,0
30,-28,-20,-55,3,-35,0
84,6,106,-6,65,-5,1
70,0,20,-100,40,70,1
-5,-120,4,-2,28,-10,0
45,16,56,32,52,40,0
71,65,51,48,34,81,1
-22,-83,13,-83,36,19,0
30,20,20,30,70,30,0
-68,-33,7,-10,3,-39,0
95,195,30,40,-5,30,0
29,71,-56,21,-45,-56,0
42,-25,22,-70,23,-15,0
117,52,67,42,31,75,1
-27,-52,-18,-44,15,-17,0
-9,15,61,0,29,5,0
7,-13,62,-8,35,-15,0
-23,-23,-40,-41,-17,-60,0
23,-21,5,-38,31,0,0
2,-25,0,-24,21,6,0
5,-20,-17,-53,66,5,0
40,-110,125,-35,110,-65,1
-25,-35,-10,-15,5,-52,0
60,70,40,25,35,45,1
108,55,25,75,60,22,0
70,25,-10,20,40,15,0
114,102,68,54,33,62,1
15,-105,-20,35,35,10,0
54,-15,50,20,35,31,0
5,-35,5,20,80,25,0
35,22,17,41,3,83,0
125,75,50,10,30,80,1
103,45,17,-5,25,60,0
58,25,115,80,22,20,1
83,42,39,44,40,38,0
24,-56,-15,-56,1,-33,0
15,2,13,6,37,2,0
47,12,30,31,31,29,1
-65,27,35,47,6,-60,0
-23,0,-120,-90,-13,-34,1
19,23,50,25,25,18,0
5,-130,105,25,80,5,1
-34,1,-51,-11,15,-1,1
8,-12,64,32,52,8,0
-67,17,51,37,43,0,0
24,-14,-21,-39,38,-39,0
90,90,95,70,5,60,1
40,25,15,15,45,-10,0
10,75,25,30,25,30,0
128,30,153,130,61,55,1
65,-45,85,5,5,5,0
20,29,-20,60,11,5,0
26,24,41,24,-18,64,0
-50,-85,-10,-55,10,-15,0
-64,-8,-64,-8,4,-40,0
20,-10,30,0,15,-15,0
0,-5,35,-5,20,10,0
11,5,-39,-2,4,1,1
40,0,-50,20,85,0,0
2,-55,-16,-91,8,-28,1
80,-20,15,-20,25,-35,0
-35,15,-15,75,25,-75,0
20,-30,-10,-35,15,-80,1
-13,-13,-20,-15,25,-4,0
2,-41,-30,1,53,20,0
15,39,38,65,21,55,0
-3,-28,-45,-48,0,-48,0
20,65,30,-10,30,20,0
-5,-25,-70,15,5,-25,0
0,7,60,82,46,20,0
-8,8,68,59,13,40,0
97,75,32,70,-50,60,0
10,-10,0,0,50,-40,0
60,40,48,42,44,26,0
-13,22,38,-7,11,-51,0
-46,-39,9,-39,38,-24,0
70,60,10,50,10,70,0
18,-20,23,-15,61,-36,0
-8,35,22,40,-75,20,0
17,-10,-8,-27,38,-20,0
-33,-20,-50,-15,95,-49,0
-1,35,82,15,23,26,0
-50,-45,25,-90,2,-35,0
5,20,-15,20,75,25,0
0,-4,40,16,28,0,0
-10,3,8,3,19,-15,0
-10,-10,0,25,15,-10,0
10,15,45,10,5,-15,0
-12,-50,3,-45,54,-29,0
50,53,45,25,18,44,1
10,-20,5,-20,24,-5,0
-2,-72,33,-72,56,30,0
77,35,77,10,-80,15,0
105,65,66,55,25,60,0
55,-35,80,10,70,10,0
-65,-15,55,-5,5,-28,0
-13,-7,40,15,15,10,0
-15,10,-5,-20,10,-5,0
50,34,30,44,45,25,0
-25,20,20,30,25,-5,0
55,-55,35,-5,60,30,0
-25,-9,20,6,5,0,0
25,-50,25,-50,25,-75,1
48,80,90,75,18,44,0
35,0,20,30,10,-15,0
-50,-60,5,5,10,-45,0
-12,-88,-6,-32,20,30,0
-57,-5,-48,-35,20,0,0
-2,29,-35,24,5,5,0
9,55,27,85,47,64,0
72,31,-1,-19,58,16,0
65,40,75,40,40,45,0
12,-43,-43,-38,13,-40,0
40,20,-20,25,35,-15,0
-60,-120,-55,-50,5,-30,1
7,45,30,45,45,10,0
0,-5,40,40,40,8,0
7,27,78,78,20,50,0
60,0,-20,-80,-20,15,0
-43,-22,40,30,20,-25,0
-15,-35,30,20,55,5,0
-19,-5,-19,-60,4,0,0
-25,5,45,5,5,-25,0
0,43,30,55,-53,50,0
14,62,8,-2,34,13,0
61,-46,16,-1,-18,78,0
75,45,25,10,45,0,0
20,-75,25,-45,5,10,0
95,75,-15,0,-45,85,0
-19,20,-11,5,-19,9,0
73,50,88,55,-45,20,0
65,70,0,65,20,70,0
29,25,-37,25,14,30,0
-50,-15,-80,25,40,-35,0
0,-10,35,10,40,-20,0
45,50,60,45,55,40,0
-20,5,80,70,70,-15,0
90,40,95,40,40,40,0
-5,-34,49,8,59,-41,0
15,0,75,115,55,30,0
-3,23,-25,-15,-55,45,0
35,15,20,5,72,48,0
82,41,17,25,34,46,0
7,-14,-46,-14,12,-4,0
-15,-85,-15,-25,20,-12,0
-25,-64,5,-14,5,3,0
105,30,105,25,40,-55,0
22,2,43,-12,31,-16,0
60,20,25,40,80,30,0
-5,35,35,50,5,10,0
140,56,10,66,18,50,0
-10,-20,-55,20,10,-8,0
45,30,100,20,40,50,0
27,15,20,30,30,28,0
-14,-15,-52,-65,8,-39,0
58,-28,35,40,60,35,0
35,54,65,4,25,17,0
-8,-13,15,-13,36,-30,0
10,25,57,83,29,-25,0
-37,-23,7,23,66,-33,0
30,-29,20,-9,3,30,0
25,-5,80,60,60,3,0
110,30,90,-40,65,60,1
1,20,21,17,19,12,0
15,15,-23,-3,5,-4,0
20,-1,-50,15,16,-80,0
-59,-30,40,-20,74,-30,0
104,60,80,80,35,46,0
18,5,48,5,64,6,0
35,5,5,55,15,45,0
-28,-7,59,34,26,-38,0
25,55,-20,10,50,-25,0
0,55,40,0,10,-20,0
-100,-50,-70,-10,20,-8,0
-8,5,26,34,22,9,0
-40,-34,57,-68,15,26,0
88,-3,35,-20,55,5,0
6,5,-14,5,20,10,0
-15,-28,0,-25,25,-27,0
45,35,35,35,55,95,1
84,55,20,35,31,55,0
34,66,15,10,5,-20,0
65,165,-80,-10,-70,-10,0
56,35,70,30,50,39,0
0,25,9,35,17,20,0
30,10,0,0,2,48,0
-20,-37,-60,-17,9,10,0
83,80,8,-20,29,38,0
-65,5,110,-5,15,20,1
-31,-13,-29,5,29,-25,0
-50,-113,-50,-113,16,-9,1
75,10,50,45,10,10,0
30,10,100,90,65,18,0
-15,20,35,45,7,20,0
45,70,-90,-40,-85,0,0
-50,-75,-34,46,20,0,0
-75,-5,-2,30,20,-10,0
35,15,30,35,10,10,0
55,20,75,84,42,56,1
21,-32,-14,-32,8,14,0
-7,35,6,18,57,-51,0
45,-30,55,70,70,18,0
-26,-25,-10,-70,10,-19,0
